"","X.1","X","ID","NameOfPDF","Author","DOI","CodingFinished","Screener","Extracter","DataExtracted","Extraction.Suitable","ExtractionComments","Sampled_Soil_Available_notpH","FullyFactorial","SpatialExtent.km2.","Country","Season.s.","ExperimentObservation","Method","LandUse","LandIntensification","HabitatLossFragmentation","Climate","Pollution","InvasiveSpp","NutrientEnrichment","PollutionSource","OtherBiodiversity","EcosystemFunction","Case_ID","CaseDescription","Latitude","Longitude","SamplingDuration_months","SoilPH","PollutionType","PollutantClass","PollutionName","SecondaryPollution","TreatmentDescription","Control_absValue","Control_absValueUnit","Treatment_absValue","Treatment_absValueUnit","TaxaGroup","TaxaBodysize","Control_mean","Control_SD","Control_N","Treatment_mean","Treatment_SD","Treatment_N","Measurement","MeasurementUnits","Error","Data_Source","System","ColdDrySystems","WetlandSystems","AgricultureType","Tillage","WoodyType","WoodyUse","Grassland","Agroforestry","ArtificialSystem","SystemComments","SamplingMethod","GeneralComments","TaxonomicResolutionRichness","TaxaGroupings","LongTerm","RecommendedDose","PollutantClass1","PesticideType","Neonicotinoid","SeedCoating","MultiSubstanceWithInsecticide","PollutionNameCorrected","Comments","TaxaGroupGSBA","BodySizeCat","BiodivMetric","RecommendedRate","LongTerm2","RepeatedApplication","TemporalExtent","ES","VarES","Control_SD_approx","Treatment_SD_approx","ES2","VarES2"
"62",62,151,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_2","Moguer area, 1 pesticide, abdc",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,122,114,9,139.8,91.5,9,"Abundance","ind/100 g soil","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",0.163984670812044,0.222969193673926,114,91.5,0.163984670812044,0.222969193673926
"63",63,152,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_11","Cartaya area, pesticide 2, richness",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","40.0","g/m2","Nematodes",NA,12.8,1.56524758424985,5,14,1.78885438199983,5,"TaxaRichness","richness","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,"genus or family",NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",0.64449131053492,0.420768452467751,1.56524758424985,1.78885438199983,0.64449131053492,0.420768452467751
"64",64,153,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_14","Cartaya area, pesticide 2, simpson",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","40.0","g/m2","Nematodes",NA,5.2,1.34164078649987,5,6.2,0.894427190999916,5,"Simpson","unitless","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",0.791723197856086,0.431341281101173,1.34164078649987,0.894427190999916,0.791723197856086,0.431341281101173
"65",65,154,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_3","Moguer area, 2 pesticides, richness",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,11.7,1.5,9,9.4,0.9,9,"TaxaRichness","richness","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,"genus or family",NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",-1.77065867246764,0.309312003732913,1.5,0.9,-1.77065867246764,0.309312003732913
"66",66,155,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_1","Moguer area, 2 pesticides, abdc",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,122,114,9,149.3,82.8,9,"Abundance","ind/100 g soil","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",0.260933591539838,0.224113509422052,114,82.8,0.260933591539838,0.224113509422052
"67",67,156,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_9","Cartaya area, pesticide 1, abdc",NA,NA,0,NA,"Pesticides","Fumigant","1,3 - dichloropropene","No","1,3-D 98% injcted in the soil",0,"g/m2","13.0","g/m2","Nematodes",NA,258.1,197.668409210981,5,115.6,40.2492235949962,5,"Abundance","ind/100 g soil","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","1,3 - dichloropropene","nematodes, insects, fungi, weeds","Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",-0.901812231649662,0.440663265057647,197.668409210981,40.2492235949962,-0.901812231649662,0.440663265057647
"68",68,157,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_10","Cartaya area, 2 pesticides, richness",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","50.0","g/m2","Nematodes",NA,12.8,1.56524758424985,5,12.6,1.56524758424985,5,"TaxaRichness","richness","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,"genus or family",NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",-0.115343201006637,0.400665202700923,1.56524758424985,1.56524758424985,-0.115343201006637,0.400665202700923
"69",69,158,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_6","Moguer area, 1 pesticide, simpson",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,4.7,2.4,9,3.6,0.6,9,"Simpson","unitless","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-0.598804013006741,0.232182395722027,2.4,0.6,-0.598804013006741,0.232182395722027
"70",70,159,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_13","Cartaya area, 2 pesticides, simpson",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","50.0","g/m2","Nematodes",NA,5.2,1.34164078649987,5,4,2.01246117974981,5,"Simpson","unitless","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-0.633378558284868,0.420058419904751,1.34164078649987,2.01246117974981,-0.633378558284868,0.420058419904751
"71",71,160,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_15","Cartaya area, pesticide 1, simpson",NA,NA,0,NA,"Pesticides","Fumigant","1,3 - dichloropropene","No","1,3-D 98% injcted in the soil",0,"g/m2","13.0","g/m2","Nematodes",NA,5.2,1.34164078649987,5,3.7,2.23606797749979,5,"Simpson","unitless","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","1,3 - dichloropropene","nematodes, insects, fungi, weeds","Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-0.734339427933191,0.426962719770862,1.34164078649987,2.23606797749979,-0.734339427933191,0.426962719770862
"72",72,161,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_5","Moguer area, 2 pesticides, simpson",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,4.7,2.4,9,3.9,0.9,9,"Simpson","unitless","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-0.420315136601743,0.227129578168237,2.4,0.9,-0.420315136601743,0.227129578168237
"73",73,162,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_4","Moguer area, 1 pesticide, richness",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","30.0","g/m2","Nematodes",NA,11.7,1.5,9,9.9,1.5,9,"TaxaRichness","richness","SE","T2","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,"genus or family",NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",-1.14270460176522,0.258493716858206,1.5,1.5,-1.14270460176522,0.258493716858206
"74",74,163,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_8","Cartaya area, pesticide 2, abdc",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin","No","chloropicrin (96%) injected in the soil",0,"g/m2","40.0","g/m2","Nematodes",NA,258.1,197.668409210981,5,112.3,53.665631459995,5,"Abundance","ind/100 g soil","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","BroadSpectrum","no","no","no","chloropicrin",NA,"Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",-0.90873465898716,0.441289934022225,197.668409210981,53.665631459995,-0.90873465898716,0.441289934022225
"75",75,164,520,"Sanchez-Moreno_2010_Ecological Indicators","Sanchez-Moreno","10.1016/j.ecolind.2009.04.010",TRUE,"Kate","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,"0-100m","Spain","Spring","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","520_7","Cartaya area, 2 pesticides, abdc",NA,NA,0,NA,"Pesticides","Fumigant","chloropicrin, 1,3-dichloropropene","Yes","chloropicrin 44% + 1,3-D 80% injected in the soil",0,"g/m2","50.0","g/m2","Nematodes",NA,258.1,197.668409210981,5,270.1,298.067861400722,5,"Abundance","ind/100 g soil","SE","T3","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strawberry crop",NA,NA,NA,NA,"31 weeks after application","probably at recommended rate","Biocide","MultiSubstance","no","no","yes","1,3 - dichloropropene; chloropicrin","idem ligne3","Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",0.0428328264025982,0.400091732550882,197.668409210981,298.067861400722,0.0428328264025982,0.400091732550882
"76",76,165,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_2","nematodes richness, study 1","37d36m29s N","03d49m17sW",3,"7.91;7.83","Pesticides","Herbicide","Glyphosate","No","Glyphosate 36% single application under olive tree canopy vs. outside canopy",NA,NA,NA,NA,"Nematodes",NA,12.42,0.87,9,11.82,1.02,9,"TaxaRichness","richness","SE","T2","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,"olive tree crops",NA,NA,"genus or family","no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",-0.602710408167976,0.232312773225389,0.87,1.02,-0.602710408167976,0.232312773225389
"77",77,166,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_4","tardigrades abdc, study 1","37d36m29s N","03d49m17sW",3,"7.91;7.83","Pesticides","Herbicide","Glyphosate","No","Glyphosate 36% single application under olive tree canopy vs. outside canopy",NA,NA,NA,NA,"Tardigrades",NA,41.5,57.03,9,4.11,3.99,9,"Abundance","ind/kg soil","SE","T2","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,"olive tree crops",NA,NA,NA,"no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Tardigrades","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",-0.880763913005653,0.243770696401473,57.03,3.99,-0.880763913005653,0.243770696401473
"78",78,167,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_8","nematodes abdc, study 2","38d12m36sN","03d23m01sW",0,"6.2;6.62","Pesticides","Herbicide","Glyphosate","No","Glyphosate single application under cover crop vs. cover crop mown without glyphosate",NA,NA,NA,NA,"Nematodes",NA,591.57,324.104535605412,7,497.5,199.013413618279,7,"Abundance","ind/100g soil","SE","T3","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,NA,NA,NA,NA,"no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",-0.327382638015494,0.289542121131214,324.104535605412,199.013413618279,-0.327382638015494,0.289542121131214
"79",79,168,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_3","nematodes shannon, study 1","37d36m29s N","03d49m17sW",3,"7.91;7.83","Pesticides","Herbicide","Glyphosate","No","Glyphosate 36% single application under olive tree canopy vs. outside canopy",NA,NA,NA,NA,"Nematodes",NA,1.9,0.09,9,1.87,0.15,9,"Shannon","unitless","SE","T2","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,"olive tree crops",NA,NA,NA,"no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-0.230955479017517,0.223703900924673,0.09,0.15,-0.230955479017517,0.223703900924673
"80",80,169,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_10","nematodes shannon, study 2","38d12m36sN","03d23m01sW",0,"6.2;6.62","Pesticides","Herbicide","Glyphosate","No","Glyphosate single application under cover crop vs. cover crop mown without glyphosate",NA,NA,NA,NA,"Nematodes",NA,1.52,0.13228756555323,7,1.36,0.158745078663875,7,"Shannon","unitless","SE","T3","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,NA,NA,NA,NA,"no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Diversity indices",NA,"several months (3 < x < 12)","single","months",-1.02487263512472,0.323227282793838,0.13228756555323,0.158745078663875,-1.02487263512472,0.323227282793838
"81",81,170,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_9","nematodes richness, study 2","38d12m36sN","03d23m01sW",0,"6.2;6.62","Pesticides","Herbicide","Glyphosate","No","Glyphosate single application under cover crop vs. cover crop mown without glyphosate",NA,NA,NA,NA,"Nematodes",NA,7.48,0.926012958872607,7,7.43,1.03184301131519,7,"TaxaRichness","richness","SE","T3","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,NA,NA,NA,"genus or family","no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Richness",NA,"several months (3 < x < 12)","single","months",-0.0477347409478183,0.285795664481906,0.926012958872607,1.03184301131519,-0.0477347409478183,0.285795664481906
"82",82,171,522,"Sanchez-Moreno_2015_Agronomy for Sustainable Development","Sanchez-Moreno","10.1007/s13593-014-0266-x",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,FALSE,FALSE,NA,"Spain","Summer, Autumn","Observational","soil core",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Agricultural/livestock","no","none","522_1","nematodes abdc, study 1","37d36m29s N","03d49m17sW",3,"7.91;7.83","Pesticides","Herbicide","Glyphosate","No","Glyphosate 36% single application under olive tree canopy vs. outside canopy",NA,NA,NA,NA,"Nematodes",NA,596.86,234.96,9,251.6,121.95,9,"Abundance","ind/100g soil","SE","T2","Woody",NA,NA,NA,NA,NA,"Plantation",NA,NA,NA,"olive tree crops",NA,"glyphosate treatment not clearly quantified",NA,"no","5 months","probably at recommended rate","Herbicide","Herbicide","no","no","no","glyphosate",NA,"Nematodes","Microfauna","Abundance",NA,"several months (3 < x < 12)","single","months",-1.75639880210307,0.307914909778586,234.96,121.95,-1.75639880210307,0.307914909778586
"83",83,174,564,"Salminen_1998_Applied Soil Ecology","Salminen","10.1016/s0929-1393(98)00108-5",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,FALSE,"NA (lab experiment)","Finland","Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Industrial,Others","microbes","none","b","PCP alone, enchytraeids",NA,NA,0,"4.7;5.4","Pesticides","Pesticide (broad spectrum)","Pentacholophenol","No","PCP added to microcosms",0,"mg/kg","154.0","mg/kg","Enchytraeids",NA,389,319.7,5,44.5,47.5,5,"Abundance","1000 ind/m2","SD","T2","Woody",NA,NA,NA,NA,"Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,"no","51 weeks","higher (actual concentration expected to cause toxic effects)","Biocide","BroadSpectrum","no","no","no","pentachlorophenol","attention faute c'est pentachloROphenol","Enchytraeids","Mesofauna","Abundance","higher","several months (3 < x < 12)","single","months",-1.36070893952167,0.49257644090471,319.7,47.5,-1.36070893952167,0.49257644090471
"84",84,175,564,"Salminen_1998_Applied Soil Ecology","Salminen","10.1016/s0929-1393(98)00108-5",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,FALSE,"NA (lab experiment)","Finland","Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Industrial,Others","microbes","none","c","PCP alone, mites",NA,NA,0,"4.7;4.5","Pesticides","Pesticide (broad spectrum)","Pentacholophenol","No","PCP added to microcosms",0,"mg/kg","154.0","mg/kg","Acari","Micro-arthropods",1648648.64864864,864864.86486487,5,2072072.07207207,2531531.53153153,5,"Abundance","1000 ind/m2","SD","F1","Woody",NA,NA,NA,NA,"Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,"no","51 weeks","higher (actual concentration expected to cause toxic effects)","Biocide","BroadSpectrum","no","no","no","pentachlorophenol","attention faute c'est pentachloROphenol","Acari","Mesofauna","Abundance","higher","several months (3 < x < 12)","single","months",0.202059950654338,0.402041411182922,864864.86486487,2531531.53153153,0.202059950654338,0.402041411182922
"85",85,176,564,"Salminen_1998_Applied Soil Ecology","Salminen","10.1016/s0929-1393(98)00108-5",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,FALSE,"NA (lab experiment)","Finland","Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Industrial,Others","microbes","none","f","PCP with strong acid, enchytraeids",NA,NA,0,"4.7;4.5","Pesticides","Pesticide (broad spectrum)","Pentacholophenol","Yes","PCP added to microcosms",0,"mg/kg","154.0","mg/kg","Enchytraeids",NA,389,319.7,5,12,16.6,5,"Abundance","1000 ind/m2","SD","T2","Woody",NA,NA,NA,NA,"Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,"no","51 weeks","higher (actual concentration expected to cause toxic effects)","Biocide","BroadSpectrum","no","no","no","pentachlorophenol","attention faute c'est pentachloROphenol","Enchytraeids","Mesofauna","Abundance","higher","several months (3 < x < 12)","single","months",-1.50339846347601,0.513010346999102,319.7,16.6,-1.50339846347601,0.513010346999102
"86",86,177,564,"Salminen_1998_Applied Soil Ecology","Salminen","10.1016/s0929-1393(98)00108-5",TRUE,"Lea","Lea","Yes","yes-all drivers",NA,TRUE,FALSE,"NA (lab experiment)","Finland","Summer","Experimental","soil core",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Industrial,Others","microbes","none","e","PCP with strong acid, nematodes",NA,NA,0,"4.7;4.5","Pesticides","Pesticide (broad spectrum)","Pentacholophenol","Yes","PCP added to microcosms",0,"mg/kg","154.0","mg/kg","Nematodes",NA,3241,2711,5,11037,6859,5,"Abundance","1000 ind/m2","SD","T2","Woody",NA,NA,NA,NA,"Coniferous",NA,NA,NA,NA,NA,NA,NA,NA,"no","51 weeks","higher (actual concentration expected to cause toxic effects)","Biocide","BroadSpectrum","no","no","no","pentachlorophenol","attention faute c'est pentachloROphenol","Nematodes","Microfauna","Abundance","higher","several months (3 < x < 12)","single","months",1.34943129958763,0.491048241615338,2711,6859,1.34943129958763,0.491048241615338
